county,state,FIPS,GISJOIN,number,state_abbrev,region,pop2020,per_100,diff
New York,New York,36061,G3600610,12,NY,North,1694251,0.708277581,0.336912617
Oconee,Georgia,13219,G1302190,1,GA,South,41799,2.392401732,1.138014741
Bibb,Georgia,13021,G1300210,5,GA,South,157346,3.177710269,1.511569349
Coahoma,Mississippi,28027,G2800270,0,MS,South,21390,0,0
Dickey,North Dakota,38021,G3800210,0,ND,Midwest,4999,0,0
Nelson,North Dakota,38063,G3800630,0,ND,Midwest,3015,0,0
Marshall,South Dakota,46091,G4600910,0,SD,Midwest,4306,0,0
Wayne,Michigan,26163,G2601630,15,MI,Midwest,1793561,0.836325054,0.397822083
St Louis (city),Missouri,29510,G2905100,3,MO,Midwest,301578,0.994767523,0.473189803
Sangamon,Illinois,17167,G1701670,3,IL,Midwest,196343,1.527938353,0.726807854
Scott,Iowa,19163,G1901630,6,IA,Midwest,174669,3.435068615,1.633989254
Berkshire,Massachusetts,25003,G2500030,5,MA,North,129026,3.875187947,1.843344681
Garland,Arkansas,05051,G0500510,3,AR,South,100180,2.994609703,1.424472295
Maricopa,Arizona,04013,G0400130,72,AZ,Southwest,4420568,1.628749971,0.774761802
Muhlenberg,Kentucky,21177,G2101770,0,KY,South,30928,0,0
Washington,Vermont,50023,G5000230,2,VT,North,59807,3.344090157,1.590712732
Kosciusko,Indiana,18085,G1800850,1,IN,Midwest,80240,1.246261216,0.592820017
Suffolk,Massachusetts,25025,G2500250,9,MA,North,797936,1.127910008,0.536522858
Muskogee,Oklahoma,40101,G4001010,2,OK,Southwest,66339,3.01481783,1.434084872
Clinton,Pennsylvania,42035,G4200350,1,PA,North,37450,2.670226969,1.270170312
Washington,Virginia,51191,G5101910,1,VA,South,53935,1.854083619,0.881948237
New Haven,Connecticut,09009,G0900090,13,CT,North,864835,1.503176907,0.71502936
San Bernardino,California,06071,G0600710,48,CA,West,2181654,2.200165562,1.046572074
Jefferson,Alabama,01073,G0100730,14,AL,South,674721,2.074931713,0.987000989
Muscogee,Georgia,13215,G1302150,15,GA,South,206922,7.24910836,3.448247033
Duval,Florida,12031,G1200310,20,FL,South,995567,2.008905478,0.95559371
Saline,Arkansas,05125,G0501250,1,AR,South,123416,0.810267712,0.385427158
Rockland,New York,36087,G3600870,1,NY,North,338329,0.295570288,0.140596515
Philadelphia,Pennsylvania,42101,G4201010,23,PA,North,1603797,1.434096709,0.682169376
Jefferson,Kentucky,21111,G2101110,11,KY,South,782969,1.404908751,0.668285283
Dallas,Texas,48113,G4801130,26,TX,Southwest,2613539,0.994819668,0.473214608
Gregg,Texas,48183,G4801830,2,TX,Southwest,124239,1.609800465,0.765747924
Lake,Indiana,18089,G1800890,8,IN,Midwest,498700,1.604170844,0.763070033
Kings,New York,36047,G3600470,0,NY,North,2736074,0,0
Hennepin,Minnesota,27053,G2700530,10,MN,Midwest,1281565,0.780295966,0.371170235
Vigo,Indiana,18167,G1801670,4,IN,Midwest,106153,3.768145978,1.792427088
Bristol,Massachusetts,25005,G2500050,21,MA,North,579200,3.625690608,1.724664091
Berkeley,West Virginia,54003,G5400030,2,WV,South,122076,1.638323667,0.779315806
El Paso,Colorado,08041,G0800410,23,CO,Rockies,730395,3.148981031,1.49790346
Alameda,California,06001,G0600010,17,CA,West,1682353,1.010489475,0.480668402
Chaves,New Mexico,35005,G3500050,4,NM,Southwest,65157,6.139018064,2.920200634
Mahoning,Ohio,39099,G3900990,2,OH,Midwest,228614,0.874837062,0.416141428
Lehigh,Pennsylvania,42077,G4200770,2,PA,North,374557,0.533964123,0.253995403
Genesee,Michigan,26049,G2600490,18,MI,Midwest,406211,4.431194625,2.107825261
Richmond,New York,36085,G3600850,3,NY,North,495747,0.605147384,0.28785577
Chemung,New York,36015,G3600150,1,NY,North,84148,1.188382374,0.56528828
Hillsborough,New Hampshire,33011,G3300110,13,NH,North,422937,3.073743844,1.462114727
Lawrence,Missouri,29109,G2901090,1,MO,Midwest,38001,2.631509697,1.251753327
Los Angeles,California,06037,G0600370,158,CA,West,10014009,1.577789674,0.75052107
Grant,New Mexico,35017,G3500170,0,NM,Southwest,28185,0,0
Tulare,California,06107,G0601070,11,CA,West,473117,2.325006288,1.105956159
Bronx,New York,36005,G3600050,14,NY,North,1472654,0.950664582,0.45221097
Contra Costa,California,06013,G0600130,14,CA,West,1165927,1.200761283,0.571176664
Palo Pinto,Texas,48363,G4803630,0,TX,Southwest,28409,0,0
Jackson,Indiana,18071,G1800710,1,IN,Midwest,46428,2.153872663,1.024551524
Essex,New Jersey,34013,G3400130,8,NJ,North,863728,0.926217513,0.440582018
Logan,Arkansas,05083,G0500830,1,AR,South,21131,4.732383702,2.251094514
Clayton,Georgia,13063,G1300630,4,GA,South,297595,1.344108604,0.639363943
San Luis Obispo,California,06079,G0600790,5,CA,West,282424,1.770387786,0.842135905
Brazoria,Texas,48039,G4800390,10,TX,Southwest,372031,2.687948047,1.278599853
Fulton,New York,36035,G3600350,0,NY,North,53324,0,0
Lafayette,Wisconsin,55065,G5500650,1,WI,Midwest,16611,6.020107158,2.863637239
Nassau,New York,36059,G3600590,15,NY,North,1395774,1.074672547,0.511198928
Steuben,New York,36101,G3601010,5,NY,North,93584,5.34279364,2.54145357
Laurel,Kentucky,21125,G2101250,4,KY,South,62613,6.388449683,3.038849962
Union,South Carolina,45087,G4500870,0,SC,South,27244,0,0
Noxubee,Mississippi,28103,G2801030,1,MS,South,10285,9.722897423,4.624976001
Greenup,Kentucky,21089,G2100890,1,KY,South,35962,2.780712975,1.32272616
Cullman,Alabama,01043,G0100430,3,AL,South,87866,3.414289942,1.62410528
Mobile,Alabama,01097,G0100970,8,AL,South,414809,1.928598463,0.917393368
Arkansas,Arkansas,05001,G0500010,0,AR,South,17149,0,0
Park,Montana,30067,G3000670,0,MT,Rockies,17191,0,0
Red River,Texas,48387,G4803870,0,TX,Southwest,11587,0,0
Berks,Pennsylvania,42011,G4200110,4,PA,North,428849,0.932729236,0.443679507
Ionia,Michigan,26067,G2600670,2,MI,Midwest,66804,2.993832705,1.424102694
Milwaukee,Wisconsin,55079,G5500790,10,WI,Midwest,939489,1.064408418,0.506316499
Pettis,Missouri,29159,G2901590,0,MO,Midwest,42980,0,0
Cowlitz,Washington,53015,G5300150,2,WA,West,110730,1.80619525,0.859168756
Davis,Utah,49011,G4900110,8,UT,Rockies,362679,2.205807339,1.049255748
Clark,Ohio,39023,G3900230,4,OH,Midwest,136001,2.941154844,1.399044953
Danville (city),Virginia,51590,G5105900,1,VA,South,42590,2.347969007,1.116879037
Monroe,Pennsylvania,42089,G4200890,1,PA,North,168327,0.594081758,0.282592087
Bucks,Pennsylvania,42017,G4200170,12,PA,North,646538,1.856039398,0.882878559
Sherman,Kansas,20181,G2001810,0,KS,Midwest,5927,0,0
Tompkins,New York,36109,G3601090,2,NY,North,105740,1.891431814,0.899713981
Hudson,New Jersey,34017,G3400170,5,NJ,North,724854,0.689794083,0.328120409
Cuyahoga,Ohio,39035,G3900350,24,OH,Midwest,1264817,1.897507703,0.902604152
Nueces,Texas,48355,G4803550,4,TX,Southwest,353178,1.132573377,0.538741124
Tippecanoe,Indiana,18157,G1801570,6,IN,Midwest,186251,3.221459214,1.532379794
Stephens,Oklahoma,40137,G4001370,1,OK,Southwest,42848,2.333831217,1.11015399
Stanton,Nebraska,31167,G3101670,0,NE,Midwest,5842,0,0
Guilford,North Carolina,37081,G3700810,13,NC,South,541299,2.401630153,1.142404505
Toole,Montana,30101,G3001010,0,MT,Rockies,4971,0,0
Pulaski,Arkansas,05119,G0501190,16,AR,South,399125,4.008769183,1.906886441
Houston,Alabama,01069,G0100690,2,AL,South,107202,1.865636835,0.887443857
Coffee,Georgia,13069,G1300690,2,GA,South,43092,4.641232711,2.207735922
Washington,Pennsylvania,42125,G4201250,5,PA,North,209349,2.388356285,1.136090408
Schuylkill,Pennsylvania,42107,G4201070,3,PA,North,143049,2.097183483,0.997585684
Harrison,West Virginia,54033,G5400330,1,WV,South,65921,1.516967279,0.721589147
Newton,Texas,48351,G4803510,0,TX,Southwest,12217,0,0
Allegan,Michigan,26005,G2600050,2,MI,Midwest,120502,1.65972349,0.789495248
Suwannee,Florida,12121,G1201210,0,FL,South,43474,0,0
Benton,Tennessee,47005,G4700050,0,TN,South,15864,0,0
Cook,Illinois,17031,G1700310,61,IL,Midwest,5275541,1.156279517,0.550017632
Jefferson,Arkansas,05069,G0500690,1,AR,South,67260,1.486767767,0.70722388
Oneida,New York,36065,G3600650,7,NY,North,232125,3.015616586,1.434464824
Dade,Florida,12025,G1200250,37,FL,South,2701767,1.369474126,0.651429784
Richmond,Georgia,13245,G1302450,7,GA,South,206607,3.388074944,1.611635362
Forrest,Mississippi,28035,G2800350,3,MS,South,78158,3.838378669,1.825835289
Tuscaloosa,Alabama,01125,G0101250,2,AL,South,227036,0.880917564,0.419033794
Washington,Tennessee,47179,G4701790,1,TN,South,133001,0.751874046,0.35765053
